asset_path,source_migration_file,source_url,original_w,original_h,committed_w,committed_h,slot,min_required_w,consent_basis
site/src/assets/images/photos/techno-corner.jpg,migration/slack_photos/2025-02-22_1740268459-587669_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3072,4080,1928,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/finlandia-axes.jpg,migration/slack_photos/2026-02-14_1771096714-097109_1.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4284,5712,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/fire-danger-maria.jpg,migration/slack_photos/2026-02-21_1771713439-032779_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4000,2256,2560,1444,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/great-bear-chase.jpg,migration/slack_photos/2026-03-07_1772920012-712389_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4284,5712,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/boom-island-run.jpg,migration/slack_photos/2026-03-15_1773592205-437209_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4284,5712,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/pi-day.jpg,migration/slack_photos/2026-03-12_1773367918-011079_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4000,3000,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/half-dome-tee.jpg,migration/slack_photos/2025-04-25_1745623183-951729_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3024,4032,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/first-track-club.jpg,migration/slack_photos/2026-04-23_1776954511-019769_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),5712,4284,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/city-trail-loppet.jpg,migration/slack_photos/2025-05-18_1747586445-653709_3.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/track-club-storm.jpg,migration/slack_photos/2025-05-29_1748527629-477279_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
